melhor_fitness,fitness_otimo,tempo_execucao,gap_final,geracoes_sem_evolucao,num_ilhas
1429,1373,171,4.07866,576,16
1427,1373,160,3.93299,646,16
1420,1373,164,3.42316,369,16
1383,1373,160,0.728332,404,16
1402,1373,161,2.11216,577,16
1443,1373,164,5.09832,833,16
1414,1373,164,2.98616,717,16
1373,1373,162,0.0,774,16
1364,1373,156,0.655499,729,16
1402,1373,155,2.11216,235,16
1423,1373,154,3.64166,347,16
1417,1373,162,3.20466,298,16
1412,1373,149,2.8405,645,16
1422,1373,162,3.56883,1516,16
1434,1373,163,4.44283,839,16
1426,1373,173,3.86016,643,16
1392,1373,172,1.38383,998,16
1438,1373,167,4.73416,1130,16
1388,1373,172,1.0925,638,16
1439,1373,165,4.80699,885,16
